City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,tiksi,RU,71.6872,128.8694,10.69,96,100,4.81,overcast clouds
82,bogorodskoye,RU,56.55,37.8833,40.77,83,15,14.05,few clouds
83,vallenar,CL,-28.5708,-70.7581,64.69,50,53,2.55,broken clouds
84,saint anthony,US,45.0205,-93.218,45.66,92,100,10.36,moderate rain
85,acapulco,MX,16.8634,-99.8901,85.82,70,0,13.8,clear sky
86,ugoofaaru,MV,5.6667,73.0,84.7,72,51,9.4,broken clouds
87,narsaq,GL,60.9167,-46.05,37.62,63,64,3.04,broken clouds
88,tuatapere,NZ,-46.1333,167.6833,57.31,93,100,10.67,light rain
89,tasiilaq,GL,65.6145,-37.6368,32.16,93,74,4.21,broken clouds
90,panguna,PG,-6.3164,155.4848,77.83,75,62,3.71,light rain
91,inverell,AU,-29.7833,151.1167,67.66,69,79,1.99,broken clouds
92,port-gentil,GA,-0.7193,8.7815,80.56,94,40,2.3,scattered clouds
93,sringeri,IN,13.4167,75.25,71.01,97,25,1.48,scattered clouds
94,tecoanapa,MX,16.5167,-98.75,86.54,49,0,10.25,clear sky
95,baley,RU,51.6,116.6333,30.04,36,23,5.53,few clouds
96,shenjiamen,CN,29.9576,122.298,55.62,91,95,4.94,overcast clouds
97,kaitangata,NZ,-46.2817,169.8464,57.87,98,92,3.98,overcast clouds
98,pacific grove,US,36.6177,-121.9166,67.33,67,14,11.01,few clouds
99,sao filipe,CV,14.8961,-24.4956,72.32,80,87,4.14,overcast clouds
100,caconda,AO,-13.7333,15.0667,61.5,88,100,2.93,overcast clouds
101,faanui,PF,-16.4833,-151.75,81.03,69,31,6.78,scattered clouds
102,tazovskiy,RU,67.4667,78.7,9.99,95,100,11.72,light snow
103,katsuura,JP,35.1333,140.3,59.74,82,93,3.65,light rain
104,te anau,NZ,-45.4167,167.7167,59.95,87,87,5.41,light rain
105,beira,MZ,-19.8436,34.8389,73.49,94,75,10.36,broken clouds
106,gazanjyk,TM,39.2446,55.5154,66.85,49,13,9.33,few clouds
107,kodiak,US,57.79,-152.4072,42.31,81,75,6.91,light rain
108,hambantota,LK,6.1241,81.1185,78.69,85,7,2.98,clear sky
109,ilulissat,GL,69.2167,-51.1,15.82,48,23,8.05,few clouds
110,winneba,GH,5.3511,-0.6231,80.62,85,50,10.87,light rain
111,mount gambier,AU,-37.8333,140.7667,49.91,100,40,3.44,scattered clouds
112,abu dhabi,AE,24.4667,54.3667,75.22,82,0,2.3,clear sky
113,savannakhet,LA,16.566,104.751,72.12,81,56,3.78,broken clouds
114,yumen,CN,40.2833,97.2,46.65,19,100,5.61,overcast clouds
115,mastic beach,US,40.7668,-72.8521,59.2,46,0,12.66,clear sky
116,bandarbeyla,SO,9.4942,50.8122,80.17,77,8,6.76,clear sky
117,muscat,OM,23.6139,58.5922,80.62,48,96,3.15,overcast clouds
118,lavrentiya,RU,65.5833,-171.0,24.82,77,3,1.99,clear sky
119,rio gallegos,AR,-51.6226,-69.2181,51.85,54,75,11.5,broken clouds
120,esperance,AU,-33.8667,121.9,57.04,73,83,7.38,broken clouds
121,makakilo city,US,21.3469,-158.0858,80.92,61,75,20.71,light rain
122,axim,GH,4.8699,-2.2405,80.1,88,43,8.52,light rain
123,saldanha,ZA,-33.0117,17.9442,59.05,90,85,7.18,overcast clouds
124,manokwari,ID,-0.8667,134.0833,81.43,75,92,2.35,overcast clouds
125,merrill,US,45.1805,-89.6835,44.37,91,100,6.91,moderate rain
126,la palma,US,33.8464,-118.0467,76.91,55,40,16.11,scattered clouds
127,andra,RU,62.5147,65.8878,11.7,82,73,9.98,broken clouds
128,conceicao da barra,BR,-18.5933,-39.7322,73.31,86,8,5.59,clear sky
129,potenza,IT,40.6443,15.8086,49.91,63,98,1.99,overcast clouds
130,hurghada,EG,27.2574,33.8129,71.64,35,0,18.41,clear sky
131,karratha,AU,-20.7377,116.8463,81.07,39,35,11.18,scattered clouds
