City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
290,amarpur,IN,75.81,clear sky,25.0333,86.9,Amit kirana store
293,vila velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
294,bilma,NE,82.63,clear sky,18.6853,12.9164,Expeditions Ténére voyages
296,odweyne,SO,75.67,scattered clouds,9.4092,45.064,Eng Hiirey House
298,dingle,PH,79.47,few clouds,10.9995,122.6711,SEGAYA PROPERTY
309,luanda,AO,77.0,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
311,bambous virieux,MU,76.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
313,satipo,PE,76.75,broken clouds,-11.2522,-74.6386,Bungalows El Palmiche
314,labuhan,ID,78.06,light rain,-6.8844,112.2051,DoubleFAG
316,roebourne,AU,80.82,scattered clouds,-20.7833,117.1333,Latitude20 Roebourne Village
320,bijawar,IN,86.85,broken clouds,24.6333,79.5,Shreya agro agency bijawer
321,road town,VG,78.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
323,obra,IN,78.64,scattered clouds,24.4167,82.9833,Harsh
328,padang,ID,75.72,light rain,-0.9492,100.3543,Mercure Padang
338,buala,SB,84.36,light rain,-8.145,159.5921,Maringe Lagoon Lodge
340,cravo norte,CO,83.8,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
344,puerto leguizamo,CO,74.1,moderate rain,-0.1934,-74.7819,la casona de juancho
345,itarema,BR,78.06,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
349,cockburn town,TC,76.96,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
350,ocho rios,JM,81.81,scattered clouds,18.4025,-77.1048,Hibiscus Lodge
351,buraydah,SA,79.25,overcast clouds,26.326,43.975,Mövenpick Qassim
354,loandjili,CG,76.69,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
358,antalaha,MG,75.22,heavy intensity rain,-14.9003,50.2788,Hotel Vitasoa
359,voh,NC,80.11,few clouds,-20.9667,164.7,Le gîte du Koniambo
368,george town,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
370,bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
372,auki,SB,85.12,broken clouds,-8.7676,160.7034,Auki Motel
373,pala,TD,83.34,overcast clouds,9.3642,14.9046,Nectar Hôtel de Pala
377,kapoeta,SS,76.8,overcast clouds,4.7717,33.5903,Eastgate Hotel
378,kandrian,PG,82.58,light rain,-6.2167,149.55,Kandrian Station
380,meulaboh,ID,78.35,overcast clouds,4.1363,96.1285,Kost Pria
389,limon,CR,84.09,broken clouds,10.0,-83.0333,Hotel Playa Bonita
392,benjamin hill,MX,87.8,clear sky,30.1667,-111.1,Hotel Benjamín Hill
393,umm lajj,SA,74.1,clear sky,25.0213,37.2685,Moon light Furnished Units
397,bundaberg,AU,76.21,overcast clouds,-24.85,152.35,Takalvan Motel
398,namibe,AO,76.1,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
399,saint-leu,RE,76.06,broken clouds,-21.15,55.2833,La Caz Oceane
407,south houston,US,82.33,haze,29.663,-95.2355,Houston Marriott South at Hobby Airport
408,leticia,CO,80.65,broken clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
409,puerto ayacucho,VE,79.23,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
411,honda,CO,77.32,overcast clouds,5.2086,-74.7358,Hotel Campestre el Molino
415,kudahuvadhoo,MV,83.57,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
419,gizo,SB,83.68,broken clouds,-8.103,156.8419,Imagination Island
423,bowen,AU,78.06,light rain,-20.0167,148.2333,Castle Motor Lodge Motel
424,buchanan,LR,79.74,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
425,conceicao do araguaia,BR,75.85,light rain,-8.2578,-49.2647,Tarumã Tropical Hotel
429,jaciara,BR,75.13,clear sky,-15.9653,-54.9683,Taba Hotel
430,oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
434,turbat,PK,76.37,clear sky,26.0023,63.044,Mubashar Quarters
435,serrana,BR,80.55,broken clouds,-21.2114,-47.5956,CMS Plaza Hotel
436,nabire,ID,80.46,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
438,colombo,LK,80.55,scattered clouds,6.9319,79.8478,Galle Face Hotel
444,port blair,IN,82.6,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
454,redcliffe,AU,76.14,few clouds,-27.2307,153.0973,Scarborough Beach Resort
464,san patricio,US,84.18,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
467,totness,SR,77.81,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
468,matara,LK,77.41,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
469,benguela,AO,77.0,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
470,cabo san lucas,MX,79.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
471,charters towers,AU,78.04,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
475,gorontalo,ID,77.63,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
479,culebra,PR,78.89,scattered clouds,18.303,-65.301,Palmetto Guesthouse
480,villamontes,BO,76.15,clear sky,-21.25,-63.5,Hotel Raldes
482,maracaju,BR,77.86,broken clouds,-21.6144,-55.1683,Maracaju Plaza Hotel - Hospedagem - Maracaju/MS
485,phalodi,IN,82.99,moderate rain,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
493,ajmer,IN,83.48,overcast clouds,26.45,74.6333,OYO 862 Hotel Embassy
497,banda aceh,ID,79.83,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
501,vieux fort,LC,79.95,few clouds,13.7167,-60.95,Cedar Palm Villa
502,bonthe,SL,79.45,broken clouds,7.5264,-12.505,Bonthe Holiday Village
503,san fernando,PH,80.33,clear sky,15.0286,120.6898,Maharlika Hostel
505,bahia honda,CU,80.26,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
507,mana,GF,77.81,overcast clouds,5.6592,-53.7767,LE SAMANA
509,omboue,GA,78.21,overcast clouds,-1.5746,9.2618,Hotel Olako
510,harper,LR,80.83,overcast clouds,4.375,-7.7169,Screensaver
511,berbera,SO,81.39,few clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
512,kirakira,SB,84.97,overcast clouds,-10.4544,161.9205,SanBiz Lodge
516,ambikapur,IN,77.29,clear sky,23.1167,83.2,Hotel Birendra Prabha
517,boffa,GN,79.5,scattered clouds,10.1667,-14.0333,Hôtel Niara Belly
520,galle,LK,79.32,broken clouds,6.0367,80.217,Amangalla
527,kavaratti,IN,83.91,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
528,russell,US,74.35,clear sky,32.3502,-85.1999,Macs
531,mabaruma,GY,76.6,broken clouds,8.2,-59.7833,Monty Brooms Guest House
542,cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
548,malabo,GQ,81.28,overcast clouds,3.75,8.7833,Magno Suites
549,san felipe,VE,74.61,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
563,sola,VU,83.1,few clouds,-13.8833,167.55,Leumerus Bungalows
564,rondonopolis,BR,76.59,clear sky,-16.4708,-54.6356,Serras Hotel
567,porto novo,BJ,78.26,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
574,quatre cocos,MU,76.08,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
575,najran,SA,75.85,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
582,san policarpo,PH,81.18,broken clouds,12.1791,125.5072,Agapita M. Nicart
585,el juncal,HN,84.87,clear sky,15.45,-86.4333,NUEVA MENDEZ
586,iquitos,PE,84.24,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
592,grand-lahou,CI,80.17,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
603,grand gaube,MU,76.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
604,utinga,BR,82.8,light rain,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
610,kuala selangor,MY,77.2,overcast clouds,3.35,101.25,Apps Hotel
616,guarapari,BR,75.88,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
617,ipixuna,BR,75.42,moderate rain,-1.7625,-48.8043,Chalé do Mato
627,bubaque,GW,75.94,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
641,luganville,VU,84.67,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
647,ler,SS,82.58,broken clouds,8.3018,30.1418,Leer Humanitarian Hub
651,kota belud,MY,77.92,broken clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
652,yeppoon,AU,74.98,overcast clouds,-23.1333,150.7333,Villa Mar Colina
656,biloela,AU,76.71,overcast clouds,-24.4167,150.5,Biloela Silo Motor Inn
657,alappuzha,IN,82.02,overcast clouds,9.49,76.3264,Panoramic Sea Resort
665,mulege,MX,84.99,overcast clouds,26.8833,-111.9833,Casa Granada
674,behbahan,IR,75.2,broken clouds,30.5959,50.2417,شهرکدامداران ماهشهر
676,kieta,PG,82.74,light rain,-6.2167,155.6333,Uruna Bay Retreat
677,hobyo,SO,82.0,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
678,waingapu,ID,79.61,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
